fid_1,bezeichnun,gis_id,elem_nr,datum,bildpfad,pgr_m,pgr_a,zw_pgr_m,zw_pgr_a,aun,twgeb,twrio,twsub,gw,kreuz,spt,ris,efli,afli,obs,ausbr,onf,zw_spt,zw_aun,zw_ris,zw_efli,zw_afli,zw_obs,lqrl,lqrp,eksl,eksp,btef,btep,sff,zw_btef,zw_btep,zw_lqrl,zw_lqrp,zw_eksl,zw_eksp,vnk,nnk,lage,fs,vst,bst,od_fs,zk,material,bauw,ausb
2358,Fahrbahn,Fl_20150413_2358,45510044_45510040.01,2015/4/13,Los1\Bilddaten\28000\16.jpg,14.75,3.495460526,4.19,4.5,0,4.5,1,1.87,4.5,Ku,12.05436504,0,0,0,0,0,0,2.96,0,1,1,1,1,,,,,,,0,,,,,,,,,,,0,0,0,7,2,,
2356,Fahrbahn,Fl_20150413_2356,45510044_45510040.01,2015/4/13,Los1\Bilddaten\28000\2.jpg,14.27,3.947835052,4.07,4.95,0,4.95,1.61,2.44,4.95,U,10.79559602,1,0,0,0,0,0,2.74,0,1.5,1,1,1,,,,,,,0,,,,,,,,,,,0,0,0,8,2,,
2364,Fahrbahn,Fl_20150413_2364,45510040_45510025.01,2015/4/13,Los1\Bilddaten\28001\32.jpg,5.74,2.253960396,1.94,3.17,0,3.17,3.2,3.19,3.19,M,9.764896286,0,40,0,0,0,0,2.55,0,1,4.5,1,1,,,,,,,0,,,,,,,,,,,0,0,0,5,2,,
2365,Fahrbahn,Fl_20150413_2365,45510040_45510025.01,2015/4/13,Los1\Bilddaten\28001\39.jpg,10.76,3.669090909,3.19,4.67,0,4.67,3.51,3.8,4.67,U,11.77147644,5,40,0,0,0,0,2.91,0,2.07,4.5,1,1,,,,,,,0,,,,,,,,,,,0,0,0,8,2,,
2328,Fahrbahn,Fl_20150413_2328,45510025_46520019.01,2015/4/13,Los1\Bilddaten\28002\10.jpg,10.99,4.418666667,3.25,5,0,5,2.44,3.08,5,U,9.73207728,1,15,0,0,0,0,2.54,0,1.5,2.67,1,1,,,,,,,0,,,,,,,,,,,0,0,0,8,2,,
2329,Fahrbahn,Fl_20150413_2329,45510025_46520019.01,2015/4/13,Los1\Bilddaten\28002\15.jpg,8.98,3.014042553,2.75,4.01,0,4.01,1,1.75,4.01,Ku,10.28886752,0,0,0,0,0,0,2.64,0,1,1,1,1,,,,,,,0,,,,,,,,,,,0,0,0,7,2,,
2331,Fahrbahn,Fl_20150413_2331,45510025_46520019.01,2015/4/13,Los1\Bilddaten\28002\28.jpg,5.96,1.82,1.99,2.59,0,2.69,1,1.42,2.69,Lu,10.52113809,0,0,0,0,0,0,2.69,0,1,1,1,1,,,,,,,0,,,,,,,,,,,0,0,0,4,2,,
2339,Fahrbahn,Fl_20150413_2339,45510025_46520019.01,2015/4/13,Los1\Bilddaten\28002\3.jpg,19.27,5.438492063,5,5,0,5,1,2,5,U,10.67718332,0,0,0,0,0,0,2.71,0,1,1,1,1,,,,,,,0,,,,,,,,,,,0,0,0,8,2,,
2333,Fahrbahn,Fl_20150413_2333,45510025_46520019.01,2015/4/13,Los1\Bilddaten\28002\41.jpg,9.61,2.522705882,2.9,3.52,0,3.52,1,1.63,3.52,Ku,13.0813499,0,0,0,0,0,0,3.15,0,1,1,1,1,,,,,,,0,,,,,,,,,,,0,0,0,6,2,,
2334,Fahrbahn,Fl_20150413_2334,45510025_46520019.01,2015/4/13,Los1\Bilddaten\28002\48.jpg,15.95,2.942258065,4.49,3.94,0,4.49,1,1.87,4.49,Ku,11.5860865,0,0,0,0,0,0,2.88,0,1,1,1,1,,,,,,,0,,,,,,,,,,,0,0,0,7,2,,
2393,Fahrbahn,Fl_20150413_2393,46520019_46520005.01,2015/4/13,Los1\Bilddaten\28003\10.jpg,16.49,4.045151515,4.62,5,0,5,1,2,5,U,11.12945247,0,0,0,0,0,0,2.8,0,1,1,1,1,,,,,,,0,,,,,,,,,,,0,0,0,8,2,,
2394,Fahrbahn,Fl_20150413_2394,46520019_46520005.01,2015/4/13,Los1\Bilddaten\28003\17.jpg,6.11,2.512,2.03,3.51,0,3.51,1,1.63,3.51,Ku,14.43198962,0,0,0,0,0,0,3.4,0,1,1,1,1,,,,,,,0,,,,,,,,,,,0,0,0,6,2,,
2396,Fahrbahn,Fl_20150413_2396,46520019_46520005.01,2015/4/13,Los1\Bilddaten\28003\29.jpg,19.31,1.907833333,5,2.71,0,5,1,2,5,U,11.97689608,0,0,0,0,0,0,2.95,0,1,1,1,1,,,,,,,0,,,,,,,,,,,0,0,0,8,2,,
2392,Fahrbahn,Fl_20150413_2392,46520019_46520005.01,2015/4/13,Los1\Bilddaten\28003\3.jpg,12.94,3.374833333,3.74,4.37,0,4.37,2.67,3.1,4.37,Ku,13.19288769,0,25,0,0,0,0,3.17,0,1,3.5,1,1,,,,,,,0,,,,,,,,,,,0,0,0,7,2,,
2397,Fahrbahn,Fl_20150413_2397,46520019_46520005.01,2015/4/13,Los1\Bilddaten\28003\35.jpg,16.79,3.077260274,4.7,4.08,0,4.7,1,1.92,4.7,U,11.99985572,0,0,0,0,0,0,2.95,0,1,1,1,1,,,,,,,0,,,,,,,,,,,0,0,0,8,2,,
2398,Fahrbahn,Fl_20150413_2398,46520019_46520005.01,2015/4/13,Los1\Bilddaten\28003\43.jpg,6.57,2.047272727,2.14,2.9,0,2.9,1,1.47,2.9,Lu,11.0024321,0,0,0,0,0,0,2.77,0,1,1,1,1,,,,,,,0,,,,,,,,,,,0,0,0,4,2,,
2343,Fahrbahn,Fl_20150413_2343,46520005_46520006.01,2015/4/13,Los1\Bilddaten\28004\16.jpg,3.79,1.219827586,1.47,1.79,0,3.61,1.88,2.31,3.61,Ku,16.07062444,0,10,0,0,0,0,3.61,0,1,2.25,1,1,,,,,,,0,,,,,,,,,,,0,0,0,6,2,,
2346,Fahrbahn,Fl_20150413_2346,46520005_46520006.01,2015/4/13,Los1\Bilddaten\28004\38.jpg,8.6,2.015913978,2.65,2.85,0,3.46,1.58,2.05,3.46,M,14.78714868,0,5,0,0,0,0,3.46,0,1,1.83,1,1,,,,,,,0,,,,,,,,,,,0,0,0,5,2,,
2348,Fahrbahn,Fl_20150413_2348,46520005_46520006.01,2015/4/13,Los1\Bilddaten\28004\55.jpg,10.33,4.311832061,3.08,5,0,5,1,2,5,U,11.83882992,0,0,0,0,0,0,2.93,0,1,1,1,1,,,,,,,0,,,,,,,,,,,0,0,0,8,2,,
2349,Fahrbahn,Fl_20150413_2349,46520005_46520006.01,2015/4/13,Los1\Bilddaten\28004\61.jpg,10.9,5.319375,3.23,5,0,5,1.61,2.46,5,U,10.47817853,1,0,0,0,0,0,2.68,0,1.5,1,1,1,,,,,,,0,,,,,,,,,,,0,0,0,8,2,,
2342,Fahrbahn,Fl_20150413_2342,46520005_46520006.01,2015/4/13,Los1\Bilddaten\28004\9.jpg,7.7,1.272,2.43,1.86,0,3.54,2.16,2.5,3.54,Ku,15.35331044,0,15,0,0,0,0,3.54,0,1,2.67,1,1,,,,,,,0,,,,,,,,,,,0,0,0,6,2,,
4740,Fahrbahn,Fl_20150413_4740,46520005_46520006.01,2015/4/13,Los1\Bilddaten\28005\11.jpg,7.05,0.858409091,2.26,1.43,0,2.39,2.01,2.11,2.39,M,8.870401609,1,1,1,1,0,0,2.39,0,1.5,1.5,1.5,1.5,,,,,,,0,,,,,,,,,,,0,0,0,3,2,,
4736,Fahrbahn,Fl_20150413_4736,46520005_46520006.01,2015/4/13,Los1\Bilddaten\28005\37.jpg,0.37,0.194,1.05,1.1,0,3.38,2.22,2.51,3.38,M,14.32307172,5,0,0,0,0,0,3.38,0,2.07,1,1,1,,,,,,,0,,,,,,,,,,,0,0,0,5,2,,
4735,Fahrbahn,Fl_20150413_4735,46520005_46520006.01,2015/4/13,Los1\Bilddaten\28005\43.jpg,2.51,0.82125,1.31,1.41,0,3.59,1,1.65,3.59,Ku,15.94248937,0,0,0,0,0,0,3.59,0,1,1,1,1,,,,,,,0,,,,,,,,,,,0,0,0,6,2,,
4733,Fahrbahn,Fl_20150413_4733,46520005_46520006.01,2015/4/13,Los1\Bilddaten\28005\56.jpg,8.21,2.512096774,2.55,3.51,0,3.51,2.16,2.5,3.51,Ku,11.48093184,0,15,0,0,0,0,2.86,0,1,2.67,1,1,,,,,,,0,,,,,,,,,,,0,0,0,6,2,,
4766,Fahrbahn,Fl_20150413_4766,46520019_46520005.01,2015/4/13,Los1\Bilddaten\28006\23.jpg,11.19,2.117083333,3.3,2.99,0,3.3,1,1.57,3.3,Lu,11.96092811,0,0,0,0,0,0,2.95,0,1,1,1,1,,,,,,,0,,,,,,,,,,,0,0,0,5,2,,
4765,Fahrbahn,Fl_20150413_4765,46520019_46520005.01,2015/4/13,Los1\Bilddaten\28006\30.jpg,15.71,4.129673913,4.43,5,0,5,1,2,5,U,13.3070064,0,0,0,0,0,0,3.19,0,1,1,1,1,,,,,,,0,,,,,,,,,,,0,0,0,8,2,,
4726,Fahrbahn,Fl_20150413_4726,45510025_46520019.01,2015/4/13,Los1\Bilddaten\28007\13.jpg,6.19,2.245844156,2.05,3.16,0,3.16,1,1.54,3.16,Lu,11.43976496,0,0,0,0,0,0,2.85,0,1,1,1,1,,,,,,,0,,,,,,,,,,,0,0,0,5,2,,
4725,Fahrbahn,Fl_20150413_4725,45510025_46520019.01,2015/4/13,Los1\Bilddaten\28007\19.jpg,3.21,1.279010989,1.4,1.87,0,3.05,1,1.51,3.05,Lu,12.52186237,0,0,0,0,0,0,3.05,0,1,1,1,1,,,,,,,0,,,,,,,,,,,0,0,0,5,2,,
4728,Fahrbahn,Fl_20150413_4728,45510025_46520019.01,2015/4/13,Los1\Bilddaten\28007\2.jpg,11.6,4.747435897,3.4,5,0,5,2.44,3.08,5,U,11.42904328,1,15,0,0,0,0,2.85,0,1.5,2.67,1,1,,,,,,,0,,,,,,,,,,,0,0,0,8,2,,
4720,Fahrbahn,Fl_20150413_4720,45510025_46520019.01,2015/4/13,Los1\Bilddaten\28007\51.jpg,7.49,2.974067797,2.37,3.97,0,3.97,2.16,2.61,3.97,Ku,10.40540587,0,15,0,0,0,0,2.66,0,1,2.67,1,1,,,,,,,0,,,,,,,,,,,0,0,0,6,2,,
4727,Fahrbahn,Fl_20150413_4727,45510025_46520019.01,2015/4/13,Los1\Bilddaten\28007\7.jpg,8.72,3.243680982,2.68,4.24,0,4.24,1,1.81,4.24,Ku,12.72855812,0,0,0,0,0,0,3.09,0,1,1,1,1,,,,,,,0,,,,,,,,,,,0,0,0,7,2,,
4753,Fahrbahn,Fl_20150413_4753,45510040_45510025.01,2015/4/13,Los1\Bilddaten\28008\17.jpg,9.44,1.451515152,2.86,2.1,0,2.95,1,1.49,2.95,Lu,11.94839352,0,0,0,0,0,0,2.95,0,1,1,1,1,,,,,,,0,,,,,,,,,,,0,0,0,4,2,,
4750,Fahrbahn,Fl_20150413_4750,45510040_45510025.01,2015/4/13,Los1\Bilddaten\28008\33.jpg,16.45,2.831097561,4.61,3.83,0,4.61,1.61,2.36,4.61,U,11.10302914,1,0,0,0,0,0,2.79,0,1.5,1,1,1,,,,,,,0,,,,,,,,,,,0,0,0,8,2,,
2360,Fahrbahn,Fl_20150413_2360,45510040_45510025.01,2015/4/13,Los1\Bilddaten\28008\39.jpg,10.15,2.899859155,3.04,3.9,0,3.9,2.86,3.12,3.9,Ku,10.59953791,0,30,0,0,0,0,2.7,0,1,3.83,1,1,,,,,,,0,,,,,,,,,,,0,0,0,6,2,,
4742,Fahrbahn,Fl_20150413_4742,45510012_45510044.01,2015/4/13,Los1\Bilddaten\28010\17.jpg,14.03,6.9971875,4.01,5,0,5,2.86,3.39,5,U,13.39179398,0,30,0,0,0,0,3.21,0,1,3.83,1,1,,,,,,,0,,,,,,,,,,,0,0,0,8,2,,
2317,Fahrbahn,Fl_20150413_2317,45510015_46510024.01,2015/4/13,Los1\Bilddaten\28011\0.jpg,4.53,2.833846154,1.63,3.83,0,3.83,1,1.71,3.83,Ku,11.26747401,0,0,0,0,0,0,2.82,0,1,1,1,1,,,,,,,0,,,,,,,,,,,0,0,0,6,2,,
2379,Fahrbahn,Fl_20150413_2379,45510015_45510022.01,2015/4/13,Los1\Bilddaten\28011\13.jpg,7.95,3.169387755,2.49,4.17,0,4.17,1,1.79,4.17,Ku,10.89606233,0,0,0,0,0,0,2.75,0,1,1,1,1,,,,,,,0,,,,,,,,,,,0,0,0,7,2,,
2319,Fahrbahn,Fl_20150413_2319,45510015_45510022.01,2015/4/13,Los1\Bilddaten\28011\20.jpg,17.19,6.509473684,4.8,5,0,5,3.68,4.01,5,U,17.18931343,20,0,0,0,0,0,3.72,0,4,1,1,1,,,,,,,0,,,,,,,,,,,0,0,0,8,5,,
2320,Fahrbahn,Fl_20150413_2320,45510015_45510022.01,2015/4/13,Los1\Bilddaten\28011\26.jpg,18.36,6.076893939,5,5,0,5,3.36,3.77,5,U,17.52769686,15,0,0,0,0,0,3.75,0,3.5,1,1,1,,,,,,,0,,,,,,,,,,,0,0,0,8,5,,
2378,Fahrbahn,Fl_20150413_2378,45510015_45510022.01,2015/4/13,Los1\Bilddaten\28011\4.jpg,7.59,3.148181818,2.4,4.15,0,4.15,1,1.79,4.15,Ku,10.47730385,0,0,0,0,0,0,2.68,0,1,1,1,1,,,,,,,0,,,,,,,,,,,0,0,0,7,2,,
2323,Fahrbahn,Fl_20150413_2323,45510015_45510022.01,2015/4/13,Los1\Bilddaten\28011\48.jpg,18.53,5.708983051,5,5,0,5,2.22,2.91,5,U,58.92844757,5,0,0,0,0,0,5,0,2.07,1,1,1,,,,,,,0,,,,,,,,,,,0,0,0,8,5,,
2324,Fahrbahn,Fl_20150413_2324,45510015_45510022.01,2015/4/13,Los1\Bilddaten\28011\56.jpg,19.18,4.769343066,5,5,0,5,4.21,4.4,5,U,19.29938758,30,0,0,0,0,0,3.93,0,5,1,1,1,,,,,,,0,,,,,,,,,,,0,0,0,8,5,,
2326,Fahrbahn,Fl_20150413_2326,45510015_45510022.01,2015/4/13,Los1\Bilddaten\28011\74.jpg,19.43,7.063854167,5,5,0,5,3.68,4.01,5,U,18.64630388,20,0,0,0,0,0,3.86,0,4,1,1,1,,,,,,,0,,,,,,,,,,,0,0,0,8,5,,
2327,Fahrbahn,Fl_20150413_2327,45510015_45510022.01,2015/4/13,Los1\Bilddaten\28011\80.jpg,13.53,6.282702703,3.88,5,0,5,3.68,4.01,5,U,18.05497435,20,0,0,0,0,0,3.81,0,4,1,1,1,,,,,,,0,,,,,,,,,,,0,0,0,8,5,,
2376,Fahrbahn,Fl_20150413_2376,45510022_45510021.01,2015/4/13,Los1\Bilddaten\28012\11.jpg,17.98,3.6525,5,4.65,0,5,3.36,3.77,5,U,16.52866946,15,0,0,0,0,0,3.65,0,3.5,1,1,1,,,,,,,0,,,,,,,,,,,0,0,0,8,5,,
2369,Fahrbahn,Fl_20150413_2369,45510022_45510021.01,2015/4/13,Los1\Bilddaten\28012\28.jpg,8.09,2.842857143,2.52,3.84,0,3.84,1,1.71,3.84,Ku,12.70633919,0,0,0,0,0,0,3.08,0,1,1,1,1,,,,,,,0,,,,,,,,,,,0,0,0,6,5,,
2387,Fahrbahn,Fl_20150413_2387,45510021_45510023.02,2015/4/13,Los1\Bilddaten\28013\12.jpg,10.36,4.806271186,3.09,5,0,5,1,2,5,U,19.05328111,0,0,0,0,0,0,3.91,0,1,1,1,1,,,,,,,0,,,,,,,,,,,0,0,0,8,5,,
2388,Fahrbahn,Fl_20150413_2388,45510021_45510023.02,2015/4/13,Los1\Bilddaten\28013\20.jpg,17.22,5.184453782,4.81,5,0,5,2.22,2.91,5,U,16.09610107,5,0,0,0,0,0,3.61,0,2.07,1,1,1,,,,,,,0,,,,,,,,,,,0,0,0,8,5,,
2389,Fahrbahn,Fl_20150413_2389,45510021_45510023.02,2015/4/13,Los1\Bilddaten\28013\28.jpg,13.81,4.178907563,3.95,5,0,5,2.22,2.91,5,U,16.56082684,5,0,0,0,0,0,3.66,0,2.07,1,1,1,,,,,,,0,,,,,,,,,,,0,0,0,8,5,,
2390,Fahrbahn,Fl_20150413_2390,45510021_45510023.02,2015/4/13,Los1\Bilddaten\28013\36.jpg,19.67,5.746103896,5,5,0,5,2.85,3.38,5,U,14.58603807,10,0,0,0,0,0,3.42,0,2.79,1,1,1,,,,,,,0,,,,,,,,,,,0,0,0,8,5,,
2386,Fahrbahn,Fl_20150413_2386,45510021_45510023.02,2015/4/13,Los1\Bilddaten\28013\7.jpg,13.68,6.758,3.92,5,0,5,1,2,5,U,14.20725759,0,0,0,0,0,0,3.36,0,1,1,1,1,,,,,,,0,,,,,,,,,,,0,0,0,8,5,,
2372,Fahrbahn,Fl_20150413_2372,45510023_45510007.02,2015/4/13,Los1\Bilddaten\28014\18.jpg,13.54,5.46060241,3.89,5,0,5,3.68,4.01,5,U,18.29931082,20,0,0,0,0,0,3.83,0,4,1,1,1,,,,,,,0,,,,,,,,,,,0,0,0,8,5,,
2370,Fahrbahn,Fl_20150413_2370,45510023_45510007.02,2015/4/13,Los1\Bilddaten\28014\2.jpg,19.69,6.657706422,5,5,0,5,2.85,3.38,5,U,15.31194191,10,0,0,0,0,0,3.53,0,2.79,1,1,1,,,,,,,0,,,,,,,,,,,0,0,0,8,5,,
2373,Fahrbahn,Fl_20150413_2373,45510023_45510007.02,2015/4/13,Los1\Bilddaten\28014\26.jpg,17.65,8.1675,4.91,5,0,5,3.36,3.77,5,U,16.67541553,15,0,0,0,0,0,3.67,0,3.5,1,1,1,,,,,,,0,,,,,,,,,,,0,0,0,8,5,,
2374,Fahrbahn,Fl_20150413_2374,45510023_45510007.02,2015/4/13,Los1\Bilddaten\28014\35.jpg,19.28,6.310864198,5,5,0,5,3.79,4.09,5,U,18.16058012,20,0,5,0,0,0,3.82,0,4,1,2.07,1,,,,,,,0,,,,,,,,,,,0,0,0,8,5,,
2351,Fahrbahn,Fl_20150413_2351,45510012_45510013.02,2015/4/13,Los1\Bilddaten\28016\4.jpg,11.56,3.914803922,3.39,4.91,0,4.91,1,1.98,4.91,U,13.771271,0,0,0,0,0,0,3.28,0,1,1,1,1,,,,,,,0,,,,,,,,,,,0,0,0,8,2,,
1284,Fahrbahn,Fl_20150413_1284,45510012_45510013.02,2015/4/13,Los1\Bilddaten\28017\12.jpg,8.93,2.635726496,2.73,3.64,0,3.64,1,1.66,3.64,Ku,12.69070927,0,0,0,0,0,0,3.08,0,1,1,1,1,,,,,,,0,,,,,,,,,,,0,0,0,6,2,,
1285,Fahrbahn,Fl_20150413_1285,45510012_45510013.02,2015/4/13,Los1\Bilddaten\28017\3.jpg,13.06,4.1825,3.77,5,0,5,1,2,5,U,12.89375926,0,0,0,0,0,0,3.12,0,1,1,1,1,,,,,,,0,,,,,,,,,,,0,0,0,8,2,,
1288,Fahrbahn,Fl_20150413_1288,45510007_45510013.02,2015/4/13,Los1\Bilddaten\28018\12.jpg,0,0,1,1,0,3.71,2.85,3.06,3.71,Ku,17.07798571,10,0,0,0,0,0,3.71,0,2.79,1,1,1,,,,,,,0,,,,,,,,,,,0,0,0,6,5,,
2367,Fahrbahn,Fl_20150413_2367,45510007_45510013.02,2015/4/13,Los1\Bilddaten\28018\20.jpg,10.86,3.885507246,3.22,4.89,0,4.89,3.36,3.74,4.89,U,19.63888838,15,0,0,0,0,0,3.96,0,3.5,1,1,1,,,,,,,0,,,,,,,,,,,0,0,0,8,5,,
1291,Fahrbahn,Fl_20150413_1291,45510023_45510007.02,2015/4/13,Los1\Bilddaten\28019\29.jpg,13.66,2.112857143,3.92,2.98,0,4.11,3.36,3.55,4.11,Ku,21.11523555,15,0,0,0,0,0,4.11,0,3.5,1,1,1,,,,,,,0,,,,,,,,,,,0,0,0,7,5,,
1303,Fahrbahn,Fl_20150413_1303,45510021_45510023.02,2015/4/13,Los1\Bilddaten\28020\21.jpg,12.6,2.872162162,3.65,3.87,0,3.87,2.22,2.63,3.87,Ku,17.84849736,5,0,0,0,0,0,3.78,0,2.07,1,1,1,,,,,,,0,,,,,,,,,,,0,0,0,6,5,,
1306,Fahrbahn,Fl_20150413_1306,45510021_45510023.02,2015/4/13,Los1\Bilddaten\28020\39.jpg,0.57,0.256923077,1.07,1.13,0,3.24,1,1.56,3.24,Lu,13.58198665,0,0,0,0,0,0,3.24,0,1,1,1,1,,,,,,,0,,,,,,,,,,,0,0,0,5,5,,
1280,Fahrbahn,Fl_20150413_1280,45510015_45510022.01,2015/4/13,Los1\Bilddaten\28022\17.jpg,18.64,6.276161616,5,5,0,5,3.68,4.01,5,U,20.07007183,20,0,0,0,0,0,4.01,0,4,1,1,1,,,,,,,0,,,,,,,,,,,0,0,0,8,5,,
1279,Fahrbahn,Fl_20150413_1279,45510015_45510022.01,2015/4/13,Los1\Bilddaten\28022\26.jpg,16.48,6.231568627,4.62,5,0,5,3.68,4.01,5,U,19.24398918,20,0,0,0,0,0,3.92,0,4,1,1,1,,,,,,,0,,,,,,,,,,,0,0,0,8,5,,
